Year,Month,Date,Label,Top Level,Category 1,Category 2,Type,Value
2017,7,2017-07-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,111794.7
2017,8,2017-08-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,168978.8
2017,9,2017-09-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,135713.6
2017,10,2017-10-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,213354.7
2017,11,2017-11-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,211847.3
2017,12,2017-12-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,156231.3
2017,1,2017-01-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,171422.6
2017,2,2017-02-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,160559.7
2017,3,2017-03-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,178737.3
2017,4,2017-04-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,178986.7
2017,5,2017-05-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,166490.9
2017,6,2017-06-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,157016.9
2017,7,2017-07-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,162974.8
2017,8,2017-08-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,163381.5
2017,9,2017-09-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,156491.8
2017,10,2017-10-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,178004.1
2017,11,2017-11-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,172558.5
2017,12,2017-12-01,Butanes reported as Crude Oil or Equivalent,Butanes reported as Crude Oil or Equivalent,Receipts,,flow,171489.5
2017,1,2017-01-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,247.3
2017,2,2017-02-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,264.6
2017,3,2017-03-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,355.7
2017,4,2017-04-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,389.5
2017,5,2017-05-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,402
2017,6,2017-06-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,437.1
2017,7,2017-07-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,701.2
2017,8,2017-08-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,499.2
2017,9,2017-09-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,535.4
2017,10,2017-10-01,NGL reported as Crude Oil or Equivalent,NGL reported as Crude Oil or Equivalent,Receipts,,flow,491.2
